[Mon May  5 20:12:46.831 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [*] 1 
[Mon May  5 20:12:55.922 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [*] 1 
[Mon May  5 20:13:04.976 2014] 0.000 sec 0.000 sec [ext2/0/rel 3 (0,20)] [*] test 
[Mon May  5 20:13:14.895 2014] 0.000 sec 0.000 sec [ext2/0/rel 3 (0,20)] [*] test 
[Mon May  5 20:14:38.847 2014] 0.000 sec 0.000 sec [ext2/0/rel 4 (0,20)] [*]
[Tue May  6 12:16:06.905 2014] 0.037 sec 0.037 sec [phr/0/ext 0 (0,0)] [test1] ""
[Tue May  6 12:16:07.505 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,0)] [test1] ""
[Tue May  6 12:16:07.657 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,0)] [test1] ""
[Tue May  6 12:16:07.725 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,0)] [test1] ""
[Tue May  6 12:16:07.888 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,0)] [test1] ""
[Tue May  6 12:21:30.292 2014] 0.042 sec 0.042 sec [phr/0/ext 0 (0,20)] [test1] test text
[Tue May  6 13:59:47.502 2014] 0.044 sec 0.044 sec [phr/0/ext 0 (0,20)] [test1] test text
[Tue May  6 13:59:49.746 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,20)] [test1] test text
[Tue May  6 14:00:05.919 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,20)] [test1] test text
[Tue May  6 14:00:55.075 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,20)] [test1] test text
[Tue May  6 14:00:56.054 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,20)] [test1] test text
[Tue May  6 14:01:11.528 2014] 0.000 sec 0.000 sec [phr/0/ext 0 (0,20)] [test1] test text
[Tue May  6 14:03:36.259 2014] 0.015 sec 0.015 sec [ext2/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:03:45.304 2014] 0.000 sec 0.000 sec [ext2/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:04:28.184 2014] 0.000 sec 0.000 sec [ext2/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:05:36.180 2014] 0.018 sec 0.018 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:05:36.590 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:05:36.722 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:05:47.866 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:06:45.801 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:06:46.130 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:06:46.280 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:08:23.836 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:08:24.221 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:08:24.341 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:11:23.114 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:23.456 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:23.606 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:23.744 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:23.845 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:23.960 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:24.115 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:24.194 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:24.303 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:24.433 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:24.525 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:35.553 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:35.856 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:35.987 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:36.121 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:36.255 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:36.365 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:36.476 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:11:36.607 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test
[Tue May  6 14:12:39.585 2014] 0.041 sec 0.041 sec [ext2/0/rel 3 (0,20)] [*] test
[Tue May  6 14:12:40.006 2014] 0.000 sec 0.000 sec [ext2/0/rel 3 (0,20)] [*] test
[Tue May  6 14:12:40.166 2014] 0.000 sec 0.000 sec [ext2/0/rel 3 (0,20)] [*] test
[Tue May  6 14:12:46.578 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [*] ""/1
[Tue May  6 14:12:46.904 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [*] ""/1
[Tue May  6 14:12:47.068 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [*] ""/1
[Tue May  6 14:12:47.204 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [*] ""/1
[Tue May  6 14:13:17.905 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 14:13:18.196 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 14:13:18.408 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 14:13:18.482 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 14:13:47.663 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 14:49:32.979 2014] 0.000 sec 0.000 sec [all/0/rel 0 (0,20)] [test1] test text
[Tue May  6 14:49:33.423 2014] 0.000 sec 0.000 sec [all/0/rel 0 (0,20)] [test1] test text
[Tue May  6 14:49:33.574 2014] 0.000 sec 0.000 sec [all/0/rel 0 (0,20)] [test1] test text
[Tue May  6 14:50:35.061 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:50:49.354 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:51:46.074 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:51:46.435 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:51:46.563 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:51:46.663 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:52:55.772 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:52:56.103 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:52:56.250 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:52:56.319 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:52:56.471 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 14:52:56.642 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 15:01:38.548 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 15:01:39.216 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 15:01:39.616 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 15:01:39.790 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 15:04:31.548 2014] 0.000 sec 0.000 sec [any/0/rel 3 (0,20)] [test1] test text
[Tue May  6 15:18:11.321 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 15:18:12.510 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 16:53:54.816 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 16:53:56.224 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 18:09:17.598 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 18:09:17.687 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 18:09:17.849 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 18:09:18.324 2014] 0.000 sec 0.000 sec [ext2/0/rel 0 (0,20)] [test1] test text
[Tue May  6 18:10:27.218 2014] 0.034 sec 0.034 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:10:27.741 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:10:27.894 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:10:28.031 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:12:51.482 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:12:52.001 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:12:52.135 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:20:34.814 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:20:35.133 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:20:35.295 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:21:43.441 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:22:52.421 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:22:52.647 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:22:52.800 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
[Tue May  6 18:22:52.928 2014] 0.000 sec 0.000 sec [ext2/0/ext 0 (0,20)] [test1] test text
